Temp,Humd,Label
24.0,27.0,1
24.0,27.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
