Temp,Humd,Label
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,20.0,1
22.0,22.0,1
22.0,32.0,1
22.0,35.0,1
23.0,35.0,1
23.0,34.0,1
23.0,34.0,1
23.0,36.0,1
23.0,38.0,1
23.0,39.0,1
23.0,38.0,1
23.0,38.0,1
24.0,37.0,1
24.0,36.0,1
24.0,36.0,1
24.0,35.0,1
24.0,35.0,1
24.0,34.0,1
24.0,34.0,1
24.0,34.0,1
24.0,34.0,1
24.0,33.0,1
24.0,33.0,1
24.0,33.0,1
24.0,33.0,1
24.0,33.0,1
24.0,32.0,1
24.0,32.0,1
24.0,32.0,1
24.0,31.0,1
24.0,31.0,1
24.0,30.0,1
24.0,30.0,1
24.0,30.0,1
24.0,30.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,29.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,28.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,27.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,26.0,1
24.0,25.0,1
24.0,25.0,1
24.0,25.0,1
24.0,26.0,1
24.0,28.0,1
24.0,31.0,1
24.0,32.0,1
24.0,33.0,1
24.0,33.0,1
24.0,34.0,1
24.0,34.0,1
24.0,34.0,1
25.0,34.0,1
25.0,36.0,1
25.0,35.0,1
25.0,34.0,1
25.0,34.0,1
25.0,34.0,1
25.0,34.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,31.0,1
25.0,31.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,30.0,1
25.0,32.0,1
25.0,33.0,1
25.0,34.0,1
25.0,35.0,1
25.0,37.0,1
25.0,38.0,1
25.0,39.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,36.0,1
25.0,36.0,1
25.0,35.0,1
25.0,35.0,1
25.0,34.0,1
25.0,34.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,33.0,1
25.0,32.0,1
25.0,32.0,1
25.0,32.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,31.0,1
25.0,30.0,1
25.0,30.0,1
25.0,30.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,29.0,1
25.0,28.0,1
25.0,28.0,1
25.0,28.0,1
25.0,28.0,1
25.0,28.0,1
25.0,27.0,1
24.0,27.0,1
